Class,Common name,Adult weight (g),Maximum longevity (yrs),weight_outlier,longevity_outlier,weight_upper_threshold_g,longevity_upper_threshold_yrs
Aves,Pink cockatoo,390.0,83.0,False,True,1325.6499999999999,44.475
Aves,Andean condor,10500.0,79.0,True,True,1325.6499999999999,44.475
Aves,Southern ground hornbill,3767.5,70.0,True,True,1325.6499999999999,44.475
Aves,Laysan albatross,3150.0,70.0,True,True,1325.6499999999999,44.475
Aves,Common raven,1041.2,69.0,False,True,1325.6499999999999,44.475
Aves,Eurasian eagle-owl,2686.0,68.0,True,True,1325.6499999999999,44.475
Aves,Salmon-crested cockatoo,830.0,65.8,False,True,1325.6499999999999,44.475
Aves,Kakapo,1750.0,60.0,True,True,1325.6499999999999,44.475
Aves,Greater flamingo,2500.0,58.8,True,True,1325.6499999999999,44.475
Aves,Royal albatross,9000.0,58.0,True,True,1325.6499999999999,44.475
Aves,Sulphur-crested cockatoo,800.0,57.0,False,True,1325.6499999999999,44.475
Aves,Palm cockatoo,841.0,56.3,False,True,1325.6499999999999,44.475
Aves,Eastern imperical eagle,3262.0,56.0,True,True,1325.6499999999999,44.475
Aves,Yellow-crowned parrot,430.0,56.0,False,True,1325.6499999999999,44.475
Aves,Bateleur,2200.0,55.0,True,True,1325.6499999999999,44.475
Aves,American white pelican,6129.0,54.0,True,True,1325.6499999999999,44.475
Aves,Vasa parrot,525.0,53.9,False,True,1325.6499999999999,44.475
Aves,Great white pelican,9520.0,51.0,True,True,1325.6499999999999,44.475
Aves,Northern fulmar,908.0,51.0,False,True,1325.6499999999999,44.475
Aves,Manx shearwater,434.0,50.9,False,True,1325.6499999999999,44.475
Aves,Red-and-green macaw,1220.0,50.1,False,True,1325.6499999999999,44.475
Aves,Ostrich,111000.0,50.0,True,True,1325.6499999999999,44.475
Aves,Wandering albatross,7046.7,50.0,True,True,1325.6499999999999,44.475
Aves,Yellow-crested cockatoo,340.0,49.7,False,True,1325.6499999999999,44.475
Aves,Grey parrot,333.0,49.7,False,True,1325.6499999999999,44.475
Aves,Herring gull,1094.0,49.0,False,True,1325.6499999999999,44.475
Aves,Blue-fronted amazon,451.0,49.0,False,True,1325.6499999999999,44.475
Aves,Yellow-naped parrot,432.16,49.0,False,True,1325.6499999999999,44.475
Aves,Oriental white stork,4850.5,48.1,True,True,1325.6499999999999,44.475
Aves,Golden eagle,4800.0,48.0,True,True,1325.6499999999999,44.475
Aves,Bald eagle,3175.0,48.0,True,True,1325.6499999999999,44.475
Aves,Grey-headed albatross,3753.0,47.2,True,True,1325.6499999999999,44.475
Aves,Southern giant petrel,3697.5,47.0,True,True,1325.6499999999999,44.475
Aves,Greater white-fronted goose,2681.0,47.0,True,True,1325.6499999999999,44.475
Aves,Kea,867.5,47.0,False,True,1325.6499999999999,44.475
Aves,Long-billed black cockatoo,620.0,47.0,False,True,1325.6499999999999,44.475
Aves,Little corella,350.0,46.9,False,True,1325.6499999999999,44.475
Aves,Australian pied cormorant,1715.0,46.4,True,True,1325.6499999999999,44.475
Aves,Military macaw,1134.0,46.0,False,True,1325.6499999999999,44.475
Aves,Snow petrel,268.0,46.0,False,True,1325.6499999999999,44.475
Aves,Banksian cockatoo,723.7,45.4,False,True,1325.6499999999999,44.475
Aves,Tufted duck,701.5,45.2,False,True,1325.6499999999999,44.475
Aves,California condor,11175.0,45.0,True,True,1325.6499999999999,44.475
Aves,White-naped crane,5400.0,45.0,True,True,1325.6499999999999,44.475
