Kingdom,Class,Common name,Adult weight (g),Maximum longevity (yrs)
Animalia,Aves,Cooper's hawk,526.64,20.3
Animalia,Aves,Brown goshawk,453.5,14.9
Animalia,Aves,Northern goshawk,1044.2,22.0
Animalia,Aves,Eurasian sparrowhawk,237.5,20.2
Animalia,Aves,Sharp-shinned hawk,135.0,19.9
Animalia,Aves,Cinereous vulture,9625.0,39.0
Animalia,Aves,Spanish imperial eagle,3000.0,44.5
Animalia,Aves,Wedge-tailed eagle,3466.0,40.0
Animalia,Aves,Golden eagle,4800.0,48.0
Animalia,Aves,Bonelli's eagle,2000.0,20.0
Animalia,Aves,Eastern imperical eagle,3262.0,56.0
Animalia,Aves,Steppe eagle,2745.5,41.0
Animalia,Aves,Lesser spotted eagle,1370.0,26.1
Animalia,Aves,Tawny eagle,1996.1,40.3
Animalia,Aves,Grey-faced buzzard,415.0,8.5
Animalia,Aves,Buzzard,1012.0,28.8
Animalia,Aves,Red-tailed hawk,1362.0,30.7
Animalia,Aves,Rough-legged hawk,980.64,18.8
Animalia,Aves,Red-shouldered hawk,607.0,22.4
Animalia,Aves,Broad-winged hawk,454.0,18.3
Animalia,Aves,Ferruginous hawk,1500.0,23.7
Animalia,Aves,Hawaiian hawk,505.0,17.0
Animalia,Aves,Swainson's hawk,980.64,24.9
Animalia,Aves,Common black hawk,837.0,13.5
Animalia,Aves,Short-toed eagle,1699.5,17.3
Animalia,Aves,Western marsh harrier,711.5,20.1
Animalia,Aves,Swamp harrier,752.5,11.0
Animalia,Aves,Northern harrier,392.0,17.1
Animalia,Aves,Pallid harrier,388.5,13.5
Animalia,Aves,Montagu's harrier,315.5,16.3
Animalia,Aves,Black-shouldered kite,265.5,3.5
Animalia,Aves,Black-winged kite,260.5,6.0
Animalia,Aves,White-tailed kite,280.0,6.0
Animalia,Aves,Black-chested buzzard-eagle,2447.5,42.0
Animalia,Aves,Bearded vulture,5070.0,40.0
Animalia,Aves,Palm-nut vulture,1600.0,27.1
Animalia,Aves,White-backed vulture,5433.0,19.7
Animalia,Aves,Cape vulture,8177.0,31.2
Animalia,Aves,"Griffon vulture, or Eurasian griffon",7436.0,41.4
Animalia,Aves,White-tailed sea-eagle,6696.5,42.0
Animalia,Aves,Bald eagle,3175.0,48.0
Animalia,Aves,Brahminy kite,529.0,24.5
Animalia,Aves,Whistling kite,755.0,20.4
Animalia,Aves,Harpy eagle,4800.0,16.8
Animalia,Aves,New Guinea eagle,2000.0,30.0
Animalia,Aves,Little eagle,791.0,38.7
Animalia,Aves,Mississippi kite,266.0,11.2
Animalia,Aves,Lizard buzzard,280.5,8.6
Animalia,Aves,Square-tailed kite,585.5,17.0
Animalia,Aves,Black kite,1000.0,24.0
Animalia,Aves,Red kite,1080.0,38.0
Animalia,Aves,Hooded vulture,2043.0,21.3
Animalia,Aves,Egyptian vulture,2082.0,37.0
Animalia,Aves,Harris's hawk,994.26,25.0
Animalia,Aves,"European honey buzzard, or Western honey-buzzard",758.0,29.0
Animalia,Aves,Philippine eagle,6500.0,41.0
Animalia,Aves,Snail kite,352.5,17.0
Animalia,Aves,Bateleur,2200.0,55.0
Animalia,Aves,White-headed vulture,3016.0,5.7
Animalia,Aves,Turkey vulture,2200.0,20.8
Animalia,Aves,Black vulture,2270.0,25.5
Animalia,Aves,California condor,11175.0,45.0
Animalia,Aves,King vulture,3405.0,40.0
Animalia,Aves,Andean condor,10500.0,79.0
Animalia,Aves,Eastern osprey,1527.5,21.0
Animalia,Aves,Osprey,1362.0,32.0
Animalia,Aves,Mandarin duck,570.0,10.4
Animalia,Aves,Wood duck,452.8,22.5
Animalia,Aves,Egyptian goose,1900.0,25.5
Animalia,Aves,Northern pintail,721.0,27.4
Animalia,Aves,American wigeon,793.8,21.3
Animalia,Aves,Northern shoveler,613.0,22.6
Animalia,Aves,Green-winged teal,343.8,27.1
Animalia,Aves,Cinnamon teal,411.0,12.9
Animalia,Aves,Blue-winged teal,420.0,23.2
Animalia,Aves,Mottled duck,950.0,20.0
Animalia,Aves,Grey teal,488.75,31.7
Animalia,Aves,Laysan duck,500.0,12.0
Animalia,Aves,Eurasian wigeon,660.0,35.2
Animalia,Aves,Mallard,1048.1,29.1
Animalia,Aves,Garganey,326.0,14.7
Animalia,Aves,American black duck,998.7,26.6
Animalia,Aves,Gadwall,791.0,28.0
Animalia,Aves,Pacific black duck,981.0,27.2
Animalia,Aves,Greater white-fronted goose,2681.0,47.0
Animalia,Aves,Greylag goose,3308.5,31.0
Animalia,Aves,Pink-footed goose,2645.0,40.9
Animalia,Aves,Lesser white-fronted goose,1779.25,14.8
Animalia,Aves,Bean goose,3348.0,25.6
Animalia,Aves,Lesser scaup,787.0,18.3
Animalia,Aves,Redhead,1077.3,22.6
Animalia,Aves,Ring-necked duck,737.0,20.4
Animalia,Aves,Common pochard,823.0,23.2
Animalia,Aves,Tufted duck,701.5,45.2
Animalia,Aves,Greater scaup,928.5,22.1
Animalia,Aves,Canvasback,1208.8,29.5
Animalia,Aves,Musk duck,1697.5,6.2
Animalia,Aves,Brent goose,1163.2,28.8
Animalia,Aves,Canada goose,3200.0,42.0
Animalia,Aves,Cackling goose,1940.1,18.3
Animalia,Aves,Barnacle goose,1687.0,28.2
Animalia,Aves,Hawaiian goose,2150.0,42.0
Animalia,Aves,Bufflehead,400.0,18.7
Animalia,Aves,Common goldeneye,895.86,20.9
Animalia,Aves,Barrow's goldeneye,957.15,18.0
Animalia,Aves,Cape barren goose,3980.0,29.1
Animalia,Aves,Snow goose,2806.65,27.5
Animalia,Aves,Emperor goose,2148.0,12.0
Animalia,Aves,Ross's goose,1715.0,22.5
Animalia,Aves,Maned duck,812.5,9.1
Animalia,Aves,Oldsquaw,872.0,22.7
Animalia,Aves,Black swan,5650.0,24.7
Animalia,Aves,Trumpeter swan,13000.0,32.5
Animalia,Aves,Tundra swan,6350.0,24.1
Animalia,Aves,Whooper swan,9350.0,26.7
Animalia,Aves,Mute swan,8300.0,40.0
Animalia,Aves,Black-bellied whistling duck,828.0,8.2
Animalia,Aves,Fulvous whistling duck,737.1,11.2
Animalia,Aves,White-faced whistling duck,610.0,12.0
Animalia,Aves,Harlequin duck,561.25,14.6
Animalia,Aves,Hooded merganser,634.375,15.7
Animalia,Aves,White-winged scoter,1360.8,21.4
Animalia,Aves,Black scoter,1052.2,16.8
Animalia,Aves,Surf scoter,1097.5,9.5
Animalia,Aves,Smew,610.0,10.0
Animalia,Aves,Common merganser,1445.0,14.8
Animalia,Aves,Red-breasted merganser,1020.6,21.3
Animalia,Aves,Red-crested pochard,1118.0,12.9
Animalia,Aves,Blue-billed duck,798.0,16.0
Animalia,Aves,Ruddy duck,542.0,20.0
Animalia,Aves,Spur-winged goose,3869.0,11.3
